date,close,volume,open,high,low
12/19/2025,$273.67,"144,632,000",$272.145,$274.60,$269.90
12/18/2025,$272.19,"51,630,720",$273.605,$273.63,$266.95
12/17/2025,$271.84,"50,138,740",$275.01,$276.16,$271.64
12/16/2025,$274.61,"37,648,630",$272.82,$275.50,$271.79
12/15/2025,$274.11,"50,409,080",$280.15,$280.15,$272.84
12/12/2025,$278.28,"39,532,890",$277.90,$279.22,$276.82
12/11/2025,$278.03,"33,247,990",$279.095,$279.59,$273.81
12/10/2025,$278.78,"33,038,320",$277.75,$279.75,$276.44
12/09/2025,$277.18,"32,193,260",$278.16,$280.03,$276.92
12/08/2025,$277.89,"38,211,830",$278.13,$279.6693,$276.15
12/05/2025,$278.78,"47,265,850",$280.54,$281.14,$278.05
12/04/2025,$280.70,"43,989,060",$284.095,$284.73,$278.59
12/03/2025,$284.15,"43,538,690",$286.20,$288.62,$283.30
12/02/2025,$286.19,"53,669,530",$283.00,$287.40,$282.6301
12/01/2025,$283.10,"46,587,720",$278.01,$283.42,$276.14
11/28/2025,$278.85,"20,135,620",$277.26,$279.00,$275.9865
11/26/2025,$277.55,"33,431,420",$276.96,$279.53,$276.63
11/25/2025,$276.97,"46,914,220",$275.27,$280.38,$275.25
11/24/2025,$275.92,"65,585,800",$270.90,$277.00,$270.90
11/21/2025,$271.49,"59,030,830",$265.95,$273.33,$265.67
11/20/2025,$266.25,"45,823,570",$270.83,$275.43,$265.92
11/19/2025,$268.56,"40,424,490",$265.525,$272.21,$265.50
11/18/2025,$267.44,"45,677,280",$269.99,$270.71,$265.32
11/17/2025,$267.46,"45,018,260",$268.815,$270.49,$265.73
11/14/2025,$272.41,"47,431,330",$271.05,$275.96,$269.60
11/13/2025,$272.95,"49,602,790",$274.11,$276.699,$272.09
11/12/2025,$273.47,"48,397,980",$275.00,$275.73,$271.70
11/11/2025,$275.25,"46,208,320",$269.81,$275.91,$269.80
11/10/2025,$269.43,"41,312,410",$268.96,$273.73,$267.455
11/07/2025,$268.47,"48,227,370",$269.795,$272.29,$266.77
11/06/2025,$269.77,"51,204,050",$267.89,$273.40,$267.89
11/05/2025,$270.14,"43,683,070",$268.61,$271.70,$266.93
11/04/2025,$270.04,"49,274,850",$268.325,$271.486,$267.615
11/03/2025,$269.05,"50,194,580",$270.42,$270.85,$266.25
10/31/2025,$270.37,"86,167,120",$276.99,$277.32,$269.16
10/30/2025,$271.40,"69,886,530",$271.99,$274.14,$268.48
10/29/2025,$269.70,"51,086,740",$269.275,$271.41,$267.11
10/28/2025,$269.00,"41,534,760",$268.985,$269.89,$268.15
10/27/2025,$268.81,"44,888,150",$264.88,$269.12,$264.6501
10/24/2025,$262.82,"38,253,720",$261.19,$264.13,$259.18
10/23/2025,$259.58,"32,754,940",$259.94,$260.62,$258.0101
10/22/2025,$258.45,"45,015,250",$262.65,$262.85,$255.43
10/21/2025,$262.77,"46,695,950",$261.88,$265.29,$261.83
10/20/2025,$262.24,"90,483,030",$255.885,$264.375,$255.63
10/17/2025,$252.29,"49,146,960",$248.02,$253.38,$247.27
10/16/2025,$247.45,"39,776,970",$248.25,$249.04,$245.13
10/15/2025,$249.34,"33,893,610",$249.485,$251.82,$247.47
10/14/2025,$247.77,"35,477,990",$246.60,$248.845,$244.70
10/13/2025,$247.66,"38,142,940",$249.38,$249.69,$245.56
10/10/2025,$245.27,"61,999,100",$254.94,$256.38,$244.00
10/09/2025,$254.04,"38,322,010",$257.805,$258.00,$253.14
10/08/2025,$258.06,"36,496,900",$256.52,$258.52,$256.11
10/07/2025,$256.48,"31,955,780",$256.805,$257.40,$255.43
10/06/2025,$256.69,"44,664,120",$257.99,$259.07,$255.05
10/03/2025,$258.02,"49,155,610",$254.665,$259.24,$253.95
10/02/2025,$257.13,"42,630,240",$256.575,$258.18,$254.15
10/01/2025,$255.45,"48,713,940",$255.04,$258.79,$254.93
09/30/2025,$254.63,"37,704,260",$254.855,$255.919,$253.11
09/29/2025,$254.43,"40,127,690",$254.56,$255.00,$253.01
09/26/2025,$255.46,"46,076,260",$254.095,$257.60,$253.78
09/25/2025,$256.87,"55,202,080",$253.205,$257.17,$251.712
09/24/2025,$252.31,"42,303,710",$255.22,$255.74,$251.04
09/23/2025,$254.43,"60,275,190",$255.875,$257.34,$253.58
09/22/2025,$256.08,"105,517,400",$248.30,$256.64,$248.12
09/19/2025,$245.50,"163,741,300",$241.225,$246.30,$240.2106
09/18/2025,$237.88,"44,249,580",$239.97,$241.20,$236.65
09/17/2025,$238.99,"46,508,020",$238.97,$240.10,$237.7301
09/16/2025,$238.15,"63,421,100",$237.175,$241.22,$236.3235
09/15/2025,$236.70,"42,699,520",$237.00,$238.19,$235.03
09/12/2025,$234.07,"55,824,220",$229.22,$234.51,$229.02
09/11/2025,$230.03,"50,208,580",$226.875,$230.45,$226.65
09/10/2025,$226.79,"83,440,810",$232.185,$232.42,$225.95
09/09/2025,$234.35,"66,313,920",$237.00,$238.7805,$233.36
09/08/2025,$237.88,"48,999,500",$239.30,$240.15,$236.34
09/05/2025,$239.69,"54,870,400",$239.995,$241.32,$238.4901
09/04/2025,$239.78,"47,549,430",$238.45,$239.8999,$236.74
09/03/2025,$238.47,"66,427,840",$237.21,$238.85,$234.36
09/02/2025,$229.72,"44,075,640",$229.25,$230.85,$226.97
08/29/2025,$232.14,"39,418,440",$232.51,$233.38,$231.37
08/28/2025,$232.56,"38,074,700",$230.82,$233.41,$229.335
08/27/2025,$230.49,"31,259,510",$228.61,$230.90,$228.26
08/26/2025,$229.31,"54,575,110",$226.87,$229.49,$224.69
08/25/2025,$227.16,"30,983,130",$226.48,$229.30,$226.23
08/22/2025,$227.76,"42,477,810",$226.17,$229.09,$225.41
08/21/2025,$224.90,"30,621,250",$226.27,$226.52,$223.7804
08/20/2025,$226.01,"42,263,870",$229.98,$230.47,$225.77
08/19/2025,$230.56,"39,402,560",$231.275,$232.87,$229.35
08/18/2025,$230.89,"37,476,190",$231.70,$233.12,$230.11
08/15/2025,$231.59,"56,038,660",$234.00,$234.28,$229.335
