date,close,volume,open,high,low
11/19/2025,12.90,49619260,13.03,13.15,12.8649
11/18/2025,13.02,70215400,12.87,13.09,12.76
11/17/2025,12.88,73404380,13.1751,13.1751,12.78
11/14/2025,13.19,67932420,13.18,13.31,13.10
11/13/2025,13.28,71481610,13.40,13.50,13.25
11/12/2025,13.45,61840460,13.30,13.50,13.30
11/11/2025,13.30,79742410,13.19,13.44,13.19
11/10/2025,13.16,62051160,13.23,13.235,13.00
11/07/2025,13.21,80011320,12.96,13.24,12.95
11/06/2025,13.12,82291050,13.14,13.26,12.98
11/05/2025,13.11,79134310,12.92,13.305,12.88
11/04/2025,12.79,70360610,12.91,12.93,12.75
11/03/2025,13.01,80419400,13.10,13.10,12.90
10/31/2025,13.13,68861990,13.04,13.17,12.99
10/30/2025,13.06,80766300,13.14,13.29,13.06
10/29/2025,13.24,127512200,13.10,13.39,13.07
10/28/2025,13.13,96738450,13.24,13.28,13.04
10/27/2025,13.26,140859000,13.80,13.80,13.21
10/24/2025,13.84,298366900,12.73,13.97,12.71
10/23/2025,12.34,479840300,12.47,12.49,12.19
10/22/2025,12.43,415062200,12.53,12.595,12.28
10/21/2025,12.56,297153200,12.255,12.63,12.07
10/20/2025,11.99,77878940,11.93,12.08,11.91
10/17/2025,11.92,107633500,11.74,12.01,11.72
10/16/2025,11.74,108701200,11.74,11.79,11.64
10/15/2025,11.76,88960730,11.675,11.78,11.64
10/14/2025,11.65,89117950,11.38,11.76,11.34
10/13/2025,11.54,73939380,11.49,11.63,11.46
10/10/2025,11.41,84595400,11.55,11.59,11.35
10/09/2025,11.50,70320480,11.745,11.77,11.48
10/08/2025,11.74,78469650,11.98,12.014,11.68
10/07/2025,11.92,154390200,12.50,12.53,11.74
10/06/2025,12.70,90544940,12.63,12.80,12.48
10/03/2025,12.67,100778600,12.245,12.67,12.20
10/02/2025,12.22,74530530,12.28,12.43,12.12
10/01/2025,12.27,73578430,12.12,12.28,12.04
09/30/2025,11.96,70765050,12.11,12.20,11.91
09/29/2025,12.09,83325010,12.10,12.12,11.89
09/26/2025,12.01,117681800,11.65,12.315,11.65
09/25/2025,11.62,67656340,11.54,11.65,11.37
09/24/2025,11.63,60193780,11.73,11.83,11.59
09/23/2025,11.73,55667550,11.70,11.93,11.695
09/22/2025,11.66,58432710,11.60,11.70,11.565
09/19/2025,11.62,71676340,11.77,11.80,11.585
09/18/2025,11.74,55040060,11.69,11.78,11.62
09/17/2025,11.66,68585950,11.63,11.88,11.55
09/16/2025,11.61,58064970,11.685,11.78,11.51
09/15/2025,11.68,47942430,11.74,11.755,11.61
09/12/2025,11.68,50100810,11.754,11.81,11.66
09/11/2025,11.76,64196120,11.46,11.79,11.43
09/10/2025,11.42,47021330,11.49,11.52,11.31
09/09/2025,11.49,41262740,11.67,11.68,11.45
09/08/2025,11.69,39734520,11.75,11.75,11.58
09/05/2025,11.74,47547830,11.71,11.91,11.66
09/04/2025,11.68,33136650,11.65,11.70,11.57
09/03/2025,11.62,47728660,11.67,11.725,11.57
09/02/2025,11.72,57704180,11.755,11.89,11.64
08/29/2025,11.77,44069730,11.74,11.83,11.72
08/28/2025,11.71,47723670,11.985,11.99,11.63
08/27/2025,11.91,40381480,11.82,11.98,11.81
08/26/2025,11.84,48613270,11.81,11.87,11.77
08/25/2025,11.82,45038750,11.72,11.85,11.68
08/22/2025,11.74,58538700,11.39,11.77,11.39
08/21/2025,11.33,51779300,11.42,11.43,11.195
08/20/2025,11.49,46469850,11.52,11.60,11.47
08/19/2025,11.58,58020180,11.52,11.73,11.49
08/18/2025,11.46,37113810,11.40,11.48,11.37
08/15/2025,11.44,46141360,11.43,11.52,11.41
08/14/2025,11.44,52469240,11.30,11.45,11.215
08/13/2025,11.44,63823350,11.27,11.49,11.19
08/12/2025,11.25,64021040,11.20,11.32,11.13
08/11/2025,11.14,84332970,11.30,11.57,11.06
08/08/2025,11.32,48465320,11.305,11.37,11.21
08/07/2025,11.28,71774970,11.30,11.385,11.10
08/06/2025,11.21,59519840,11.11,11.26,11.08
08/05/2025,11.06,58864250,10.98,11.10,10.90
08/04/2025,10.95,56696830,10.89,11.02,10.86
08/01/2025,10.82,73541490,10.92,10.92,10.68
07/31/2025,11.07,101090900,10.773,11.15,10.6801
07/30/2025,10.87,79866860,11.125,11.125,10.82
07/29/2025,11.08,58371480,11.29,11.29,11.06
07/28/2025,11.28,54173650,11.48,11.49,11.25
07/25/2025,11.47,52312260,11.335,11.49,11.2401
07/24/2025,11.26,63557800,11.31,11.429,11.23
07/23/2025,11.38,76163210,11.28,11.46,11.28
07/22/2025,11.19,79403760,11.24,11.29,11.08
07/21/2025,11.31,65515630,11.26,11.45,11.21
07/18/2025,11.16,68812550,11.17,11.24,11.05
07/17/2025,11.15,70345260,11.19,11.3465,11.11
07/16/2025,11.24,107978100,11.35,11.45,11.15
07/15/2025,11.57,65101900,11.90,11.93,11.5247
07/14/2025,11.88,62098070,11.76,11.895,11.67
07/11/2025,11.78,65340740,11.85,11.86,11.71
07/10/2025,11.91,67263020,11.86,11.97,11.78
07/09/2025,11.83,63886880,11.78,11.90,11.76
07/08/2025,11.68,74190220,11.65,11.85,11.64
07/07/2025,11.59,73842100,11.60,11.79,11.48
07/03/2025,11.81,60311460,11.75,11.96,11.75
07/02/2025,11.77,122331600,11.38,11.78,11.37
07/01/2025,11.35,140150700,10.81,11.38,10.7901
06/30/2025,10.85,88472230,10.72,10.86,10.685
06/27/2025,10.80,182008200,10.70,10.92,10.68
06/26/2025,10.63,88416360,10.50,10.65,10.47
06/25/2025,10.48,91927330,10.76,10.765,10.42
06/24/2025,10.73,77244410,10.79,10.87,10.72
06/23/2025,10.75,77576510,10.55,10.75,10.535
06/20/2025,10.59,116743400,10.49,10.60,10.46
06/18/2025,10.43,82770170,10.43,10.53,10.395
06/17/2025,10.42,100969400,10.59,10.63,10.38
06/16/2025,10.62,75195180,10.50,10.67,10.50
06/13/2025,10.43,90106170,10.47,10.51,10.38
06/12/2025,10.53,76393290,10.58,10.59,10.43
06/11/2025,10.66,93094880,10.64,10.77,10.6101
06/10/2025,10.60,87955500,10.38,10.65,10.36
06/09/2025,10.34,63638930,10.29,10.45,10.29
06/06/2025,10.26,105916700,10.16,10.35,10.1501
