date,close,volume,open,high,low
11/19/2025,1.90,220080900,1.725,1.94,1.70
11/18/2025,2.14,172298600,2.00,2.29,1.99
11/17/2025,2.085,75313820,2.07,2.19,2.04
11/14/2025,2.245,85370340,2.36,2.50,2.24
11/13/2025,2.49,117667300,2.70,2.73,2.41
11/12/2025,2.73,176868000,2.53,2.75,2.49
11/11/2025,2.53,163738100,2.56,2.73,2.36
11/10/2025,2.56,188225700,2.925,2.93,2.47
11/07/2025,2.65,116670600,2.38,2.70,2.35
11/06/2025,2.51,88798360,2.66,2.67,2.45
11/05/2025,2.64,88272950,2.56,2.655,2.45
11/04/2025,2.52,99955620,2.605,2.80,2.51
11/03/2025,2.75,95036560,2.78,2.83,2.66
10/31/2025,2.69,94546920,2.655,2.72,2.56
10/30/2025,2.65,80902920,2.66,2.74,2.64
10/29/2025,2.76,132139700,2.82,3.05,2.70
10/28/2025,2.79,89845440,2.96,2.96,2.78
10/27/2025,2.96,96119230,3.11,3.14,2.88
10/24/2025,2.95,80963180,3.02,3.06,2.87
10/23/2025,2.88,63200050,3.04,3.05,2.86
10/22/2025,2.92,112531800,3.04,3.11,2.77
10/21/2025,3.12,112660300,3.38,3.38,3.05
10/20/2025,3.40,112440300,3.635,3.65,3.35
10/17/2025,3.40,105278700,3.45,3.59,3.37
10/16/2025,3.48,187451300,3.87,4.25,3.46
10/15/2025,3.85,184862600,4.17,4.25,3.6377
10/14/2025,4.05,198218300,3.71,4.18,3.58
10/13/2025,3.90,190073500,3.665,4.07,3.66
10/10/2025,3.42,165046400,3.80,3.94,3.40
10/09/2025,3.78,165753000,3.47,3.81,3.35
10/08/2025,3.655,149089400,3.62,3.87,3.52
10/07/2025,3.87,196361700,4.19,4.315,3.68
10/06/2025,4.13,403037200,4.50,4.58,3.84
10/03/2025,3.81,499502100,3.22,3.95,3.20
10/02/2025,2.83,122159900,2.94,2.96,2.765
10/01/2025,2.93,216722800,2.43,2.94,2.40
09/30/2025,2.33,71197370,2.235,2.38,2.19
09/29/2025,2.27,71435120,2.43,2.46,2.22
09/26/2025,2.37,95458510,2.42,2.49,2.30
09/25/2025,2.36,114744100,2.25,2.39,2.19
09/24/2025,2.40,170039100,2.47,2.61,2.34
09/23/2025,2.53,390691600,2.93,3.1599,2.51
09/22/2025,2.65,209591500,2.19,2.6797,2.09
09/19/2025,2.18,158720600,2.05,2.30,2.045
09/18/2025,2.10,127708000,2.05,2.12,1.93
09/17/2025,2.00,208039600,1.70,2.02,1.69
09/16/2025,1.68,70119490,1.59,1.74,1.55
09/15/2025,1.57,48946600,1.555,1.58,1.52
09/12/2025,1.52,27171340,1.52,1.53,1.48
09/11/2025,1.51,54137200,1.43,1.56,1.43
09/10/2025,1.44,38959440,1.44,1.50,1.41
09/09/2025,1.41,30080160,1.435,1.44,1.41
09/08/2025,1.44,31627530,1.47,1.4888,1.43
09/05/2025,1.46,32699140,1.46,1.51,1.41
09/04/2025,1.44,33974340,1.49,1.51,1.44
09/03/2025,1.49,46414640,1.54,1.55,1.48
09/02/2025,1.48,45846480,1.51,1.54,1.46
08/29/2025,1.57,30016560,1.62,1.635,1.56
08/28/2025,1.63,26794200,1.63,1.67,1.61
08/27/2025,1.62,27501380,1.66,1.66,1.60
08/26/2025,1.65,38146350,1.675,1.695,1.63
08/25/2025,1.67,47446490,1.68,1.72,1.64
08/22/2025,1.68,61455460,1.545,1.68,1.54
08/21/2025,1.54,29038320,1.56,1.57,1.52
08/20/2025,1.56,41272360,1.57,1.59,1.50
08/19/2025,1.58,41403570,1.65,1.665,1.56
08/18/2025,1.66,55075350,1.72,1.745,1.63
08/15/2025,1.70,59602240,1.66,1.73,1.60
08/14/2025,1.65,37505870,1.61,1.68,1.58
08/13/2025,1.66,75619700,1.52,1.72,1.52
08/12/2025,1.54,74301920,1.56,1.56,1.43
08/11/2025,1.58,53352500,1.55,1.62,1.53
08/08/2025,1.51,23469390,1.54,1.565,1.50
08/07/2025,1.51,30629230,1.50,1.56,1.46
08/06/2025,1.46,30525890,1.53,1.54,1.45
08/05/2025,1.54,35634300,1.47,1.57,1.45
08/04/2025,1.45,33367680,1.45,1.48,1.40
08/01/2025,1.40,55834740,1.42,1.48,1.39
07/31/2025,1.50,44462130,1.53,1.58,1.47
07/30/2025,1.55,33632960,1.605,1.62,1.54
07/29/2025,1.59,61887690,1.75,1.76,1.59
07/28/2025,1.77,68785020,1.88,1.93,1.73
07/25/2025,1.84,65031440,1.81,1.87,1.72
07/24/2025,1.77,102908900,1.81,1.99,1.74
07/23/2025,1.81,68101260,1.865,1.91,1.74
07/22/2025,1.84,76057330,1.835,1.92,1.75
07/21/2025,1.82,142891500,1.88,2.03,1.82
07/18/2025,1.79,102720000,1.68,1.83,1.67
07/17/2025,1.65,72718830,1.54,1.69,1.53
07/16/2025,1.52,46961520,1.55,1.56,1.46
07/15/2025,1.53,61336210,1.66,1.68,1.52
07/14/2025,1.57,61823320,1.65,1.65,1.50
07/11/2025,1.62,56882270,1.66,1.69,1.59
07/10/2025,1.68,88659770,1.76,1.80,1.65
07/09/2025,1.78,231504700,1.445,1.85,1.4346
07/08/2025,1.42,50271510,1.39,1.47,1.39
07/07/2025,1.37,71603300,1.475,1.51,1.35
07/03/2025,1.47,81632520,1.425,1.55,1.39
07/02/2025,1.40,67680730,1.42,1.49,1.39
07/01/2025,1.41,94951010,1.45,1.45,1.34
06/30/2025,1.49,250792400,1.30,1.57,1.235
06/27/2025,1.16,60434650,1.23,1.25,1.13
06/26/2025,1.22,102697100,1.105,1.27,1.10
06/25/2025,1.09,50442200,1.18,1.19,1.09
06/24/2025,1.16,83314170,1.13,1.20,1.10
06/23/2025,1.09,52652040,1.08,1.13,1.03
06/20/2025,1.11,71434740,1.165,1.19,1.09
06/18/2025,1.14,51273230,1.11,1.18,1.11
06/17/2025,1.09,94351960,1.26,1.27,1.05
06/16/2025,1.31,60215440,1.33,1.40,1.28
06/13/2025,1.29,60562070,1.245,1.34,1.21
06/12/2025,1.30,93595330,1.365,1.47,1.29
06/11/2025,1.38,136917400,1.32,1.52,1.27
06/10/2025,1.28,214223500,1.415,1.53,1.26
06/09/2025,1.22,141742400,0.9983,1.265,0.99
06/06/2025,0.9692,190219000,0.895,1.01,0.8941
06/05/2025,0.8715,78723410,0.92,0.9263,0.861
06/04/2025,0.9292,83844030,0.9111,0.9497,0.8985
06/03/2025,0.9108,187528600,0.81,0.9583,0.8085
06/02/2025,0.8243,134725100,0.8509,0.8616,0.815
05/30/2025,0.8827,147027600,0.90,0.9349,0.87
05/29/2025,0.9264,156525800,0.9433,1.03,0.90
05/28/2025,0.9265,306891400,0.7907,0.95,0.7851
05/27/2025,0.7931,119716800,0.7909,0.8198,0.77
05/23/2025,0.78,102513300,0.7773,0.814,0.762
05/22/2025,0.7999,118325000,0.7597,0.7999,0.7413
05/21/2025,0.7663,141116800,0.79,0.8146,0.753
05/20/2025,0.825,166916900,0.79,0.848,0.753
05/19/2025,0.7888,233107800,0.7635,0.83,0.744
05/16/2025,0.7724,272111900,0.7131,0.777,0.69
05/15/2025,0.6994,267013700,0.7835,0.784,0.6988
05/14/2025,0.7853,177767300,0.82,0.8215,0.761
05/13/2025,0.8117,182057600,0.88,0.8838,0.81
05/12/2025,0.9036,177123100,0.9145,0.938,0.8616
05/09/2025,0.8605,79273860,0.8502,0.89,0.77
05/08/2025,0.8504,114438400,0.7914,0.8551,0.7888
05/07/2025,0.7755,101419100,0.7957,0.7998,0.764
05/06/2025,0.7878,101440100,0.80,0.815,0.7687
05/05/2025,0.7947,103361700,0.8392,0.84,0.788
05/02/2025,0.8431,102534900,0.8701,0.8797,0.832
05/01/2025,0.8517,119029400,0.8989,0.9128,0.85
04/30/2025,0.8726,162686500,0.9248,0.9248,0.8488
04/29/2025,0.9592,218003600,1.08,1.11,0.9301
04/28/2025,1.02,221992700,1.00,1.19,0.9885
04/25/2025,0.8116,62328930,0.854,0.854,0.801
04/24/2025,0.8486,53649550,0.85,0.872,0.8252
04/23/2025,0.8407,62492790,0.9209,0.9297,0.833
04/22/2025,0.8747,113829300,0.8182,0.91,0.8158
04/21/2025,0.7886,135222900,0.906,0.906,0.76
04/17/2025,0.9003,129028800,0.9249,0.9459,0.8666
04/16/2025,0.9211,132775800,0.9862,1.01,0.90
04/15/2025,1.00,105081800,1.05,1.07,0.975
04/14/2025,1.06,51628940,1.145,1.17,1.05
04/11/2025,1.13,21007950,1.13,1.15,1.11
04/10/2025,1.115,35649860,1.18,1.18,1.08
04/09/2025,1.21,43922810,1.13,1.22,1.11
04/08/2025,1.12,52729070,1.29,1.2997,1.10
04/07/2025,1.245,43192500,1.155,1.30,1.15
04/04/2025,1.22,50941900,1.15,1.24,1.0801
04/03/2025,1.21,50021650,1.25,1.29,1.20
04/02/2025,1.32,34592260,1.28,1.35,1.28
04/01/2025,1.31,57727510,1.35,1.36,1.28
03/31/2025,1.35,59675250,1.30,1.36,1.26
03/28/2025,1.34,72106550,1.45,1.46,1.33
03/27/2025,1.44,40709220,1.44,1.47,1.41
03/26/2025,1.46,58837160,1.535,1.57,1.44
03/25/2025,1.53,44671410,1.55,1.63,1.53
03/24/2025,1.54,49588920,1.55,1.60,1.54
03/21/2025,1.53,56038260,1.56,1.59,1.52
03/20/2025,1.59,64745850,1.56,1.65,1.55
03/19/2025,1.58,98509770,1.57,1.675,1.55
03/18/2025,1.62,60638040,1.70,1.72,1.61
03/17/2025,1.70,41163790,1.66,1.72,1.65
03/14/2025,1.66,48726200,1.65,1.71,1.625
03/13/2025,1.65,52657520,1.655,1.75,1.60
03/12/2025,1.66,75066470,1.715,1.7694,1.64
03/11/2025,1.67,73403350,1.70,1.76,1.59
03/10/2025,1.71,66779450,1.72,1.81,1.67
03/07/2025,1.78,73436040,1.65,1.81,1.62
03/06/2025,1.65,53890590,1.64,1.69,1.58
03/05/2025,1.69,66825340,1.60,1.70,1.55
03/04/2025,1.62,96509590,1.385,1.68,1.37
03/03/2025,1.50,84399610,1.61,1.64,1.45
02/28/2025,1.61,56498550,1.595,1.64,1.55
02/27/2025,1.63,41069950,1.70,1.70,1.62
02/26/2025,1.68,57646000,1.60,1.71,1.59
02/25/2025,1.57,62373420,1.60,1.63,1.52
02/24/2025,1.59,80392050,1.66,1.66,1.53
02/21/2025,1.66,66362580,1.74,1.74,1.63
02/20/2025,1.75,51828070,1.77,1.77,1.68
02/19/2025,1.77,39542650,1.80,1.84,1.75
02/18/2025,1.81,59479270,1.76,1.85,1.72
02/14/2025,1.76,40633470,1.78,1.80,1.70
02/13/2025,1.76,53785740,1.68,1.80,1.68
02/12/2025,1.65,54813850,1.62,1.69,1.57
02/11/2025,1.62,52515100,1.70,1.70,1.61
02/10/2025,1.72,70311100,1.86,1.86,1.65
02/07/2025,1.84,57173580,1.905,1.93,1.81
02/06/2025,1.91,38717070,1.90,1.94,1.87
02/05/2025,1.85,52820230,1.97,2.00,1.85
02/04/2025,1.95,71728510,1.89,2.03,1.86
02/03/2025,1.86,50868490,1.79,1.96,1.76
01/31/2025,1.86,68951390,1.95,1.98,1.85
01/30/2025,1.92,53219750,1.90,1.97,1.84
01/29/2025,1.88,79047760,1.94,1.94,1.82
01/28/2025,1.96,71462770,1.96,2.00,1.88
01/27/2025,1.95,100236700,2.00,2.035,1.90
01/24/2025,2.08,76296020,2.11,2.20,2.07
01/23/2025,2.09,60381590,2.03,2.115,1.98
01/22/2025,2.03,74690880,2.27,2.27,2.02
01/21/2025,2.20,74333040,2.36,2.39,2.18
01/17/2025,2.44,95901810,2.72,2.7688,2.40
01/16/2025,2.74,89648860,2.865,2.97,2.55
01/15/2025,2.71,69164040,2.86,2.92,2.66
01/14/2025,2.66,57209340,2.82,3.00,2.6449
01/13/2025,2.71,59028170,2.84,2.84,2.63
01/10/2025,2.87,73435780,2.65,2.99,2.55
01/08/2025,2.67,68349840,2.79,2.8299,2.56
01/07/2025,2.95,98676870,3.20,3.32,2.94
01/06/2025,3.15,143879300,2.85,3.26,2.73
01/03/2025,2.63,96439210,2.33,2.64,2.26
01/02/2025,2.33,71346530,2.19,2.425,2.185
12/31/2024,2.13,51655000,2.31,2.32,2.12
12/30/2024,2.28,39360260,2.32,2.35,2.21
12/27/2024,2.38,61228240,2.36,2.52,2.28
12/26/2024,2.38,53896410,2.39,2.43,2.33
12/24/2024,2.42,31547670,2.45,2.455,2.305
12/23/2024,2.43,46539840,2.55,2.635,2.39
12/20/2024,2.56,83925540,2.23,2.60,2.22
12/19/2024,2.30,42184930,2.28,2.32,2.20
12/18/2024,2.22,57915170,2.445,2.52,2.18
12/17/2024,2.46,37950130,2.42,2.56,2.34
12/16/2024,2.45,41651560,2.43,2.49,2.31
12/13/2024,2.43,31130200,2.39,2.45,2.28
12/12/2024,2.40,27605340,2.45,2.52,2.37
12/11/2024,2.50,34719890,2.54,2.5891,2.38
12/10/2024,2.51,49967100,2.71,2.72,2.48
12/09/2024,2.67,107324300,2.43,2.86,2.43
12/06/2024,2.38,78059820,2.49,2.58,2.34
12/05/2024,2.45,171616600,2.10,2.56,2.06
12/04/2024,2.13,104945900,2.08,2.13,1.96
12/03/2024,2.02,90739690,2.23,2.25,2.00
12/02/2024,2.30,83938000,2.30,2.44,2.24
11/29/2024,2.24,44108920,2.18,2.28,2.155
11/27/2024,2.13,54185370,2.08,2.295,2.075
11/26/2024,2.07,45523790,2.17,2.21,2.04
11/25/2024,2.20,106803700,1.95,2.25,1.95
11/22/2024,1.92,46782680,1.89,1.98,1.88
11/21/2024,1.89,43313150,1.90,1.96,1.88
11/20/2024,1.92,64204060,1.92,2.01,1.875
11/19/2024,1.92,51275700,1.95,2.04,1.90
11/18/2024,1.99,64438520,1.89,2.05,1.82
11/15/2024,1.87,59370840,2.00,2.02,1.85
11/14/2024,1.97,80781320,1.95,2.07,1.86
11/13/2024,1.97,72590040,1.92,2.10,1.91
11/12/2024,1.91,72014350,1.94,1.98,1.79
11/11/2024,1.99,60558250,2.05,2.07,1.92
11/08/2024,2.06,64221070,2.05,2.08,1.95
11/07/2024,2.04,52379090,2.04,2.0699,1.9701
11/06/2024,1.97,117117100,2.11,2.20,1.88
11/05/2024,2.52,81383000,2.395,2.62,2.365
11/04/2024,2.51,116576900,2.11,2.54,2.10
11/01/2024,2.09,51007510,1.99,2.19,1.97
10/31/2024,1.96,45145090,2.00,2.01,1.94
10/30/2024,2.01,54951820,2.08,2.14,1.99
10/29/2024,2.13,40840350,2.22,2.24,2.08
10/28/2024,2.24,31540000,2.18,2.27,2.15
10/25/2024,2.15,44541380,2.14,2.27,2.12
10/24/2024,2.13,35856830,2.10,2.18,2.06
10/23/2024,2.08,48050790,2.181,2.19,2.05
10/22/2024,2.22,45597370,2.35,2.42,2.21
10/21/2024,2.37,52631460,2.22,2.37,2.20
10/18/2024,2.24,50203300,2.04,2.25,2.04
10/17/2024,2.04,30816580,2.06,2.065,2.01
10/16/2024,2.07,36547060,2.10,2.14,2.05
10/15/2024,2.06,30860650,2.06,2.13,2.03
10/14/2024,2.08,25442440,2.10,2.12,2.04
10/11/2024,2.12,35839390,1.96,2.13,1.9403
10/10/2024,1.97,30043130,2.02,2.03,1.95
10/09/2024,2.04,35897160,2.07,2.11,2.01
10/08/2024,2.06,42623800,2.21,2.2475,2.05
10/07/2024,2.25,37879470,2.14,2.25,2.07
10/04/2024,2.15,33726640,2.10,2.19,2.10
10/03/2024,2.06,30867690,2.13,2.155,2.03
10/02/2024,2.16,36149770,2.07,2.17,2.01
10/01/2024,2.06,43040460,2.25,2.26,2.04
09/30/2024,2.26,42356990,2.25,2.30,2.20
09/27/2024,2.28,63941790,2.10,2.29,2.10
09/26/2024,2.06,40188660,1.98,2.105,1.98
09/25/2024,1.95,36339410,2.09,2.11,1.94
09/24/2024,2.08,34405750,2.02,2.10,2.00
09/23/2024,2.00,30455840,1.94,2.05,1.92
09/20/2024,1.94,75841870,2.03,2.04,1.87
09/19/2024,2.06,47788120,2.21,2.26,2.03
09/18/2024,2.10,67073620,2.11,2.29,2.04
09/17/2024,2.09,52550460,1.97,2.195,1.97
09/16/2024,1.97,25277560,1.98,2.00,1.88
09/13/2024,1.96,29941380,1.95,2.03,1.93
09/12/2024,1.94,30178100,1.93,1.97,1.89
09/11/2024,1.94,42445780,1.92,2.00,1.81
09/10/2024,1.88,37955900,1.73,1.90,1.64
09/09/2024,1.71,30951820,1.63,1.7773,1.61
09/06/2024,1.61,29529220,1.72,1.725,1.60
09/05/2024,1.71,23923090,1.77,1.78,1.71
09/04/2024,1.74,23103890,1.74,1.80,1.71
09/03/2024,1.75,34861440,1.865,1.87,1.73
08/30/2024,1.88,33607600,1.96,1.99,1.86
08/29/2024,1.94,27638930,1.97,2.02,1.91
08/28/2024,1.94,30535770,2.05,2.07,1.92
08/27/2024,2.07,23334310,2.12,2.125,2.05
08/26/2024,2.15,25623990,2.23,2.26,2.14
08/23/2024,2.20,32745640,2.13,2.25,2.13
08/22/2024,2.12,25435270,2.20,2.23,2.12
08/21/2024,2.20,33121210,2.13,2.21,2.12
08/20/2024,2.13,29602460,2.24,2.29,2.12
08/19/2024,2.29,37586270,2.23,2.35,2.215
08/16/2024,2.21,29196550,2.11,2.26,2.10
08/15/2024,2.12,35892390,2.07,2.15,2.03
08/14/2024,2.02,35029800,2.15,2.19,2.00
08/13/2024,2.14,43069840,1.98,2.195,1.95
08/12/2024,1.95,21639730,2.00,2.01,1.91
08/09/2024,1.97,37094800,2.06,2.07,1.95
08/08/2024,2.08,55773920,1.98,2.135,1.93
08/07/2024,2.08,45314850,2.18,2.29,2.08
08/06/2024,2.15,37584920,2.25,2.25,2.10
08/05/2024,2.21,45748760,1.97,2.25,1.95
08/02/2024,2.16,47455050,2.27,2.27,2.14
08/01/2024,2.32,39021830,2.47,2.528,2.30
07/31/2024,2.47,44792450,2.41,2.56,2.38
07/30/2024,2.40,50536530,2.36,2.47,2.27
07/29/2024,2.40,42070670,2.51,2.51,2.32
07/26/2024,2.49,45257490,2.38,2.53,2.37
07/25/2024,2.33,41937820,2.41,2.47,2.31
07/24/2024,2.43,39118990,2.48,2.57,2.41
07/23/2024,2.49,33077270,2.49,2.53,2.45
07/22/2024,2.50,35865010,2.60,2.61,2.43
07/19/2024,2.515,88107920,2.47,2.58,2.41
07/18/2024,2.92,36925070,3.10,3.225,2.91
07/17/2024,3.055,42473460,3.20,3.335,3.00
07/16/2024,3.34,50762010,3.21,3.34,3.08
07/15/2024,3.21,60545190,2.975,3.23,2.83
07/12/2024,3.07,46309410,3.05,3.14,2.97
07/11/2024,2.93,43273970,2.80,2.95,2.76
07/10/2024,2.69,30404560,2.60,2.72,2.55
07/09/2024,2.57,24272250,2.65,2.67,2.51
07/08/2024,2.64,25754720,2.63,2.71,2.55
07/05/2024,2.59,29380940,2.47,2.62,2.43
07/03/2024,2.47,41364710,2.30,2.53,2.29
07/02/2024,2.27,29355820,2.31,2.35,2.21
07/01/2024,2.28,30377110,2.345,2.40,2.26
06/28/2024,2.33,121643400,2.59,2.63,2.31
06/27/2024,2.46,27291460,2.48,2.51,2.41
06/26/2024,2.45,21131930,2.37,2.46,2.35
06/25/2024,2.36,33964900,2.50,2.53,2.35
06/24/2024,2.45,25994870,2.43,2.47,2.33
06/21/2024,2.41,44582080,2.55,2.56,2.40
06/20/2024,2.535,24709390,2.65,2.66,2.52
06/18/2024,2.64,22252480,2.71,2.72,2.62
06/17/2024,2.72,18786330,2.71,2.75,2.63
06/14/2024,2.70,20849460,2.82,2.84,2.69
06/13/2024,2.84,22113970,2.96,2.96,2.78
06/12/2024,2.92,35234080,3.05,3.17,2.88
06/11/2024,2.92,18539590,2.95,2.985,2.85
06/10/2024,2.97,22212210,2.86,3.0399,2.85
06/07/2024,2.90,33149870,2.92,3.09,2.86
06/06/2024,3.00,24909850,2.95,3.06,2.91
06/05/2024,3.01,59261410,3.26,3.265,2.91
06/04/2024,3.22,26367750,3.36,3.37,3.2141
06/03/2024,3.45,33604600,3.465,3.55,3.41
05/31/2024,3.33,35202850,3.31,3.38,3.20
05/30/2024,3.30,30826160,3.26,3.32,3.115
05/29/2024,3.20,24803720,3.17,3.27,3.11
05/28/2024,3.25,31152130,3.41,3.48,3.23
05/24/2024,3.25,18501510,3.13,3.31,3.08
05/23/2024,3.075,28361530,3.40,3.40,3.06
05/22/2024,3.41,61507480,3.09,3.44,3.04
05/21/2024,3.08,20932130,3.11,3.14,3.06
05/20/2024,3.20,24409830,3.23,3.26,3.08
05/17/2024,3.25,34984240,3.32,3.38,3.195
05/16/2024,3.43,32646570,3.37,3.49,3.24
05/15/2024,3.41,77000400,3.73,3.75,3.18
05/14/2024,3.44,203418400,4.89,4.90,3.42
05/13/2024,2.89,51034690,2.62,2.96,2.58
05/10/2024,2.56,32918290,2.72,2.83,2.49
05/09/2024,2.77,63754790,2.40,2.81,2.36
05/08/2024,2.52,35751580,2.58,2.605,2.455
05/07/2024,2.64,26786730,2.69,2.77,2.60
05/06/2024,2.71,29224460,2.80,2.90,2.67
05/03/2024,2.74,44789000,2.56,2.78,2.56
05/02/2024,2.45,35923820,2.41,2.52,2.30
05/01/2024,2.30,43081540,2.31,2.5397,2.28
04/30/2024,2.31,30011630,2.36,2.37,2.28
04/29/2024,2.40,28091650,2.51,2.605,2.385
04/26/2024,2.41,16642160,2.41,2.44,2.38
04/25/2024,2.38,26600800,2.36,2.40,2.25
04/24/2024,2.41,37880720,2.66,2.6799,2.39
04/23/2024,2.59,33586160,2.59,2.74,2.53
04/22/2024,2.49,23375370,2.58,2.595,2.45
04/19/2024,2.57,32211830,2.65,2.73,2.54
04/18/2024,2.71,25401080,2.74,2.79,2.615
04/17/2024,2.73,22235950,2.72,2.82,2.66
04/16/2024,2.70,24094650,2.80,2.80,2.68
04/15/2024,2.85,21785620,2.89,2.95,2.80
04/12/2024,2.89,16360580,2.90,2.98,2.86
04/11/2024,2.96,28043360,3.08,3.15,2.90
04/10/2024,3.07,24288750,3.09,3.16,3.03
04/09/2024,3.25,27452070,3.14,3.32,3.13
04/08/2024,3.12,20567550,3.10,3.22,3.04
04/05/2024,3.14,30415890,3.00,3.19,2.99
04/04/2024,3.15,24158200,3.29,3.3988,3.14
04/03/2024,3.23,27406040,3.16,3.24,3.05
04/02/2024,3.14,31010060,3.35,3.3524,3.12
04/01/2024,3.44,18261540,3.49,3.50,3.29
03/28/2024,3.44,22255680,3.43,3.51,3.35
03/27/2024,3.43,36398360,3.25,3.525,3.20
03/26/2024,3.22,22460170,3.39,3.41,3.22
03/25/2024,3.33,19888620,3.41,3.54,3.31
03/22/2024,3.41,18950910,3.57,3.57,3.37
03/21/2024,3.59,26185720,3.52,3.71,3.47
03/20/2024,3.52,37880410,3.27,3.60,3.12
03/19/2024,3.25,27895250,3.19,3.27,3.05
03/18/2024,3.25,26070450,3.36,3.36,3.16
03/15/2024,3.33,25377450,3.36,3.47,3.26
03/14/2024,3.34,34609640,3.46,3.46,3.25
