date,close,volume,open,high,low
11/19/2025,186.52,247246400,184.79,187.855,182.8301
11/18/2025,181.36,213598900,183.375,184.80,179.65
11/17/2025,186.60,173628900,185.965,189.00,184.32
11/14/2025,190.17,186591900,182.86,191.01,180.58
11/13/2025,186.86,207423100,191.05,191.44,183.85
11/12/2025,193.80,154935300,195.72,195.89,191.13
11/11/2025,193.16,176483300,195.155,195.42,191.30
11/10/2025,199.05,198897100,195.11,199.94,193.79
11/07/2025,188.15,264942300,184.90,188.32,178.91
11/06/2025,188.08,223029800,196.42,197.62,186.38
11/05/2025,195.21,171350300,198.77,202.92,194.65
11/04/2025,198.69,188919300,203.00,203.9699,197.93
11/03/2025,206.88,180267300,208.08,211.335,205.56
10/31/2025,202.49,179802200,206.45,207.97,202.07
10/30/2025,202.89,178864400,205.15,206.16,201.41
10/29/2025,207.04,308829600,207.98,212.1899,204.775
10/28/2025,201.03,297986200,193.05,203.15,191.91
10/27/2025,191.49,153452700,189.99,192.00,188.4318
10/24/2025,186.26,131296700,183.835,187.47,183.50
10/23/2025,182.16,111363700,180.42,183.03,179.7901
10/22/2025,180.28,162249600,181.14,183.44,176.76
10/21/2025,181.16,124240200,182.785,182.785,179.80
10/20/2025,182.64,128544700,183.13,185.20,181.73
10/17/2025,183.22,173135200,180.18,184.10,179.75
10/16/2025,181.81,179723300,182.23,183.28,179.77
10/15/2025,179.83,214450500,184.80,184.87,177.29
10/14/2025,180.03,205641400,184.77,184.80,179.70
10/13/2025,188.32,153482800,187.965,190.1099,185.96
10/10/2025,183.16,268774400,193.505,195.62,182.05
10/09/2025,192.57,182997200,192.225,195.30,191.06
10/08/2025,189.11,130168900,186.57,189.60,186.54
10/07/2025,185.04,140088000,186.23,189.06,184.00
10/06/2025,185.54,157678100,185.50,187.23,183.33
10/03/2025,187.62,137596900,189.19,190.36,185.38
10/02/2025,188.89,136805800,189.60,191.05,188.06
10/01/2025,187.24,173844900,185.24,188.14,183.90
09/30/2025,186.58,236981000,182.08,187.35,181.48
09/29/2025,181.85,193063500,180.425,184.00,180.32
09/26/2025,178.19,148573700,178.17,179.77,174.93
09/25/2025,177.69,191586700,174.48,180.26,173.125
09/24/2025,176.97,143564100,179.77,179.78,175.40
09/23/2025,178.43,192559600,181.97,182.42,176.21
09/22/2025,183.61,269637000,175.30,184.55,174.7053
09/19/2025,176.67,237182100,175.77,178.08,175.18
09/18/2025,176.24,191763300,173.98,177.10,172.96
09/17/2025,170.29,211843800,172.64,173.20,168.41
09/16/2025,174.88,140737800,177.00,177.50,174.38
09/15/2025,177.75,147061600,175.67,178.85,174.51
09/12/2025,177.82,124911000,177.77,178.595,176.45
09/11/2025,177.17,151159300,179.68,180.28,176.48
09/10/2025,177.33,226852000,176.64,179.29,175.47
09/09/2025,170.76,157548400,169.09,170.98,166.7401
09/08/2025,168.31,163769100,167.55,170.96,167.35
09/05/2025,167.02,224441400,168.03,169.03,164.07
09/04/2025,171.66,141670100,170.57,171.86,169.41
09/03/2025,170.62,164424900,171.06,172.41,168.875
09/02/2025,170.78,231164900,170.00,172.379,167.22
08/29/2025,174.18,243257900,178.11,178.15,173.145
08/28/2025,180.17,281787800,180.82,184.47,176.41
08/27/2025,181.60,235518900,181.98,182.49,179.10
08/26/2025,181.77,168688200,180.055,182.39,178.81
08/25/2025,179.81,163012800,178.35,181.91,176.57
08/22/2025,177.99,172789400,172.61,178.59,171.20
08/21/2025,174.98,140040900,174.85,176.90,173.81
08/20/2025,175.40,215142700,175.165,176.00,168.801
08/19/2025,175.64,185229200,182.43,182.50,175.49
08/18/2025,182.01,132008000,180.60,182.9375,180.59
08/15/2025,180.45,156602200,181.88,181.90,178.0417
08/14/2025,182.02,129554000,179.75,183.02,179.46
08/13/2025,181.59,179871700,182.615,183.97,179.35
08/12/2025,183.16,145729200,182.96,184.48,179.46
08/11/2025,182.06,138323200,182.05,183.84,180.25
08/08/2025,182.70,123396700,181.55,183.30,180.40
08/07/2025,180.77,151878400,181.57,183.88,178.795
08/06/2025,179.42,137192300,176.325,179.90,176.25
08/05/2025,178.26,156407600,179.62,180.26,175.90
08/04/2025,180.00,148174600,175.16,180.20,174.52
08/01/2025,173.72,204529000,174.09,176.54,170.89
07/31/2025,177.87,221685400,182.90,183.30,175.93
07/30/2025,179.27,174312200,176.51,179.89,176.04
07/29/2025,175.51,154077500,177.96,179.38,175.02
07/28/2025,176.75,140023500,174.02,177.00,173.97
07/25/2025,173.50,122316800,173.61,174.72,172.96
07/24/2025,173.74,128984600,172.44,173.83,171.30
07/23/2025,170.78,154082200,169.53,171.26,167.97
07/22/2025,167.03,193114300,171.34,171.39,164.58
07/21/2025,171.38,123126100,172.75,173.38,171.00
07/18/2025,172.41,146456400,173.64,174.25,171.26
07/17/2025,173.00,160841100,172.02,174.16,170.83
07/16/2025,171.37,158831500,171.06,171.75,168.90
07/15/2025,170.70,230627400,171.19,172.40,169.195
07/14/2025,164.07,136975800,165.37,165.49,162.02
07/11/2025,164.92,193633300,163.715,167.89,163.47
07/10/2025,164.10,167704100,164.32,164.50,161.61
07/09/2025,162.88,183656400,161.22,164.42,161.16
07/08/2025,160.00,138133000,159.33,160.22,158.39
07/07/2025,158.24,140139000,158.20,159.31,157.342
07/03/2025,159.34,143716100,158.37,160.98,157.77
07/02/2025,157.25,171224100,152.98,157.60,152.97
07/01/2025,153.30,213143600,156.29,157.20,151.49
06/30/2025,157.99,194580300,158.40,158.66,155.96
06/27/2025,157.75,263234500,156.04,158.71,155.255
06/26/2025,155.02,198145700,155.975,156.715,154.00
06/25/2025,154.31,269146500,149.27,154.45,149.26
06/24/2025,147.90,187566100,145.56,147.96,145.50
06/23/2025,144.17,154308900,142.50,144.78,142.03
06/20/2025,143.85,242956200,145.45,146.20,142.65
06/18/2025,145.48,161494100,144.005,145.65,143.12
06/17/2025,144.12,139108000,144.49,145.22,143.78
06/16/2025,144.69,183133700,143.345,146.175,143.2001
06/13/2025,141.97,180820600,142.48,143.58,140.855
06/12/2025,145.00,162365000,141.97,145.00,141.85
06/11/2025,142.83,167694000,144.61,144.99,141.87
06/10/2025,143.96,155881900,142.69,144.29,141.525
06/09/2025,142.63,185114500,143.19,145.00,141.94
06/06/2025,141.72,153986200,142.51,143.27,141.51
06/05/2025,139.99,232410800,142.17,144.00,138.83
06/04/2025,141.92,167120800,142.19,142.39,139.545
06/03/2025,141.22,225578800,138.78,142.00,137.95
06/02/2025,137.38,197663100,135.49,138.12,135.40
05/30/2025,135.13,333170900,138.715,139.62,132.92
05/29/2025,139.19,370615200,142.245,143.49,137.91
05/28/2025,134.81,304021100,136.025,137.25,134.79
05/27/2025,135.50,192953600,134.15,135.66,133.31
05/23/2025,131.29,198821300,130.00,132.68,129.16
05/22/2025,132.83,187344000,132.23,134.25,131.55
05/21/2025,131.80,270608700,133.06,137.40,130.59
05/20/2025,134.38,161514200,134.29,134.58,132.62
05/19/2025,135.57,193154600,132.39,135.87,132.39
05/16/2025,135.40,226542500,136.22,136.35,133.46
05/15/2025,134.83,226632600,134.295,136.30,132.66
05/14/2025,135.34,281180800,133.195,135.435,131.68
05/13/2025,129.93,330430100,124.98,131.2189,124.47
05/12/2025,123.00,225023300,121.97,123.00,120.28
05/09/2025,116.65,132972200,117.35,118.23,115.21
05/08/2025,117.37,198428100,118.25,118.68,115.85
05/07/2025,117.06,207827800,113.045,117.68,112.2818
05/06/2025,113.54,158525600,111.48,114.74,110.822
05/05/2025,113.82,133163200,112.905,114.665,112.66
05/02/2025,114.50,190194800,114.18,115.40,113.37
05/01/2025,111.61,236121500,113.08,114.94,111.30
04/30/2025,108.92,235044600,104.47,108.92,104.08
04/29/2025,109.02,170444300,107.67,110.1999,107.44
04/28/2025,108.73,207708500,109.69,110.3699,106.02
04/25/2025,111.01,251064700,106.85,111.92,105.73
04/24/2025,106.43,220815000,103.475,106.54,103.11
04/23/2025,102.71,247526000,104.52,104.80,102.02
04/22/2025,98.89,241004800,98.78,99.811,97.28
04/21/2025,96.91,288501100,98.77,99.44,95.04
04/17/2025,101.49,292517500,104.45,104.47,100.05
04/16/2025,104.49,397016900,104.55,106.79,100.45
04/15/2025,112.20,228966900,110.97,113.615,110.50
04/14/2025,110.71,264705000,114.11,114.29,109.07
04/11/2025,110.93,313417300,108.50,111.5499,107.48
04/10/2025,107.57,437812400,109.37,110.86,99.15
04/09/2025,114.33,612918300,98.89,115.10,97.5301
04/08/2025,96.30,476243400,103.805,105.85,94.46
04/07/2025,97.64,611041300,87.46,101.75,86.62
04/04/2025,94.31,532273800,98.91,100.13,92.11
04/03/2025,101.80,338769400,103.51,105.63,101.60
04/02/2025,110.42,220601200,107.29,111.98,106.79
04/01/2025,110.15,222614000,108.515,110.20,106.47
03/31/2025,108.38,299212700,105.13,110.955,103.65
03/28/2025,109.67,229872500,111.485,112.87,109.0701
03/27/2025,111.43,236902100,111.35,114.45,110.66
03/26/2025,113.76,296431700,118.73,118.84,112.71
03/25/2025,120.69,167447200,120.545,121.29,118.92
03/24/2025,121.41,228452500,119.88,122.22,119.34
03/21/2025,117.70,266498500,116.94,117.99,115.42
03/20/2025,118.53,248829700,116.55,120.20,116.47
03/19/2025,117.52,273426200,117.27,120.445,115.68
03/18/2025,115.43,299686900,118.00,119.02,114.54
03/17/2025,119.53,255501500,122.74,122.89,118.03
03/14/2025,121.67,277593500,118.61,121.88,118.15
03/13/2025,115.58,299033100,117.03,117.76,113.79
03/12/2025,115.74,323857500,114.12,116.76,112.88
03/11/2025,108.76,354865700,106.99,112.236,104.77
03/10/2025,106.98,366487400,109.90,111.85,105.46
03/07/2025,112.69,341755500,111.25,113.48,107.56
03/06/2025,110.57,321181900,113.53,115.35,110.22
03/05/2025,117.30,284337900,117.58,118.2781,114.51
03/04/2025,115.99,398163300,110.645,119.31,110.11
03/03/2025,114.06,411381400,123.51,123.70,112.28
02/28/2025,124.92,389091100,118.02,125.09,116.40
02/27/2025,120.15,443175800,135.00,135.01,120.01
02/26/2025,131.28,322553800,129.985,133.73,128.49
02/25/2025,126.63,271428700,129.98,130.20,124.44
02/24/2025,130.28,251381100,136.56,138.59,130.08
02/21/2025,134.43,228217600,140.04,141.46,134.03
02/20/2025,140.11,143903600,140.03,140.66,136.7901
02/19/2025,139.23,167536000,139.51,141.36,137.22
02/18/2025,139.40,219176600,141.27,143.44,137.925
02/14/2025,138.85,195479600,136.48,139.25,135.50
02/13/2025,135.29,197430000,131.555,136.50,131.17
02/12/2025,131.14,160278600,130.02,132.24,129.08
02/11/2025,132.80,178902400,132.58,134.48,131.02
02/10/2025,133.57,216989100,130.09,135.00,129.96
02/07/2025,129.84,228186300,129.22,130.37,125.00
02/06/2025,128.68,251483600,127.42,128.77,125.21
02/05/2025,124.83,263110600,121.76,125.00,120.76
02/04/2025,118.65,256550000,116.96,121.20,116.70
02/03/2025,116.66,371235700,114.75,118.57,113.01
01/31/2025,120.07,390372900,123.78,127.85,119.19
01/30/2025,124.65,392925500,123.10,125.00,118.10
01/29/2025,123.70,467120600,126.50,126.89,120.05
01/28/2025,128.99,579666400,121.81,129.00,116.25
01/27/2025,118.42,818830900,124.80,128.40,116.70
01/24/2025,142.62,234657600,148.37,148.97,141.88
01/23/2025,147.22,155915500,145.05,147.23,143.72
01/22/2025,147.07,237651400,144.66,147.79,143.67
01/21/2025,140.83,197749000,139.16,141.83,137.09
01/17/2025,137.71,201188800,136.69,138.50,135.4649
01/16/2025,133.57,209235600,138.64,138.75,133.49
01/15/2025,136.24,185217300,133.65,136.45,131.29
01/14/2025,131.76,195590500,136.05,136.38,130.05
01/13/2025,133.23,204808900,129.99,133.49,129.51
01/10/2025,135.91,207602500,137.45,139.92,134.22
01/08/2025,140.11,227349900,142.58,143.95,137.56
01/07/2025,140.14,351782200,153.03,153.13,140.01
01/06/2025,149.43,265377400,148.59,152.156,147.8201
01/03/2025,144.47,229322500,140.01,144.90,139.73
01/02/2025,138.31,198247200,136.00,138.88,134.63
12/31/2024,134.29,155659200,138.03,138.07,133.83
12/30/2024,137.49,167734700,134.83,140.27,134.02
12/27/2024,137.01,170582600,138.55,139.02,134.71
12/26/2024,139.93,116519100,139.70,140.85,137.73
12/24/2024,140.22,105157000,140.00,141.90,138.65
12/23/2024,139.67,176053500,136.28,139.79,135.1201
12/20/2024,134.70,306528600,129.81,135.28,128.22
12/19/2024,130.68,209719200,131.76,134.03,129.55
12/18/2024,128.91,277444500,133.86,136.70,128.28
12/17/2024,130.39,259410300,129.09,131.59,126.86
12/16/2024,132.00,237951100,134.18,134.40,130.42
12/13/2024,134.25,231514900,138.94,139.60,132.54
12/12/2024,137.34,159211400,137.08,138.44,135.80
12/11/2024,139.31,184905200,137.36,140.17,135.21
12/10/2024,135.07,210020900,139.01,141.82,133.79
12/09/2024,138.81,189308600,138.97,139.95,137.13
12/06/2024,142.44,188505600,144.60,145.70,141.31
12/05/2024,145.06,172621200,145.11,146.54,143.95
